,camera_id,direction,cam_loc,remarks,dir_start,dir_finish
50,2702.0,4,"(1.445554109, 103.7683397)",SPECIAL (several roads going over & around each other),"(1.4408142582503656, 103.76802069354125)","(1.4426565356734522, 103.76796212804805)"
51,2703.0,1,"(1.35047790791386, 103.791033581325)",SPECIAL (three expressways),"(1.3497999528691824, 103.79123399471045)","(1.3514385782781768, 103.79010305500627)"
52,2703.0,2,"(1.35047790791386, 103.791033581325)",SPECIAL (three expressways),"(1.351701269843209, 103.79009716961295)","(1.349949696089042, 103.79132765694764)"
53,2703.0,3,"(1.35047790791386, 103.791033581325)",SPECIAL (three expressways),"(1.3515884805035954, 103.79022041976118)","(1.3501009526471104, 103.79146341109504)"
54,2704.0,1,"(1.429588536, 103.769311)",TRUE (left),"(1.4290384920743018, 103.76960815177947)","(1.430390571371181, 103.76913979475961)"
55,2704.0,2,"(1.429588536, 103.769311)",TRUE (left),"(1.4304431256740675, 103.76930228597058)","(1.4290576027412936, 103.76978020129697)"
56,2705.0,1,"(1.36728572, 103.7794698)","TRUE (left, slightly)","(1.3678992550448292, 103.77929862860677)","(1.3666522512102817, 103.77951369050368)"
57,2705.0,2,"(1.36728572, 103.7794698)","TRUE (left, slightly)","(1.3666474734165597, 103.77937031590574)","(1.367889699462334, 103.77912179993602)"
58,2706.0,1,"(1.414142, 103.771168)",FALSE,"(1.4135945467418294, 103.77130997182037)","(1.414761192775185, 103.77127692706836)"
59,2706.0,2,"(1.414142, 103.771168)",FALSE,"(1.4147403287678215, 103.77150128354262)","(1.41358585340108, 103.77154128508452)"
60,2708.0,1,"(1.3865, 103.7747)","TRUE (left 2, slightly)","(1.3860443190398841, 103.77487463171327)","(1.38699007372589, 103.77466453142554)"
61,2708.0,2,"(1.3865, 103.7747)","TRUE (left 2, slightly)","(1.3860459432638574, 103.77493762803137)","(1.3870334736073149, 103.7747960134728)"
62,2708.0,3,"(1.3865, 103.7747)","TRUE (left 2, slightly)","(1.3870624844808046, 103.77494575345736)","(1.3860331784761426, 103.7750780818152)"
63,3702.0,1,"(1.33831, 103.98032)",TRUE (left),"(1.33831, 103.98032)","(1.33831, 103.98032)"
64,3702.0,2,"(1.33831, 103.98032)",TRUE (left),"(1.33831, 103.98032)","(1.33831, 103.98032)"
65,3704.0,1,"(1.2958550156561, 103.880314665981)",TRUE (right),"(1.2958550156561, 103.880314665981)","(1.295757893101713, 103.88052868946988)"
66,3704.0,2,"(1.2958550156561, 103.880314665981)",TRUE (right),"(1.295538651423677, 103.88050982514845)","(1.2955268642361464, 103.88011603243827)"
67,3705.0,1,"(1.32743, 103.97383)",TRUE (left),"(1.3278590372534438, 103.97411967711653)","(1.3272262058435187, 103.97366906602964)"
68,3705.0,2,"(1.32743, 103.97383)",TRUE (left),"(1.327376369243582, 103.97344376048619)","(1.3279662967983878, 103.97382999856066)"
69,3793.0,1,"(1.309330837, 103.9350504)",TRUE (left),"(1.3091913605870942, 103.9346534316507)","(1.3093629771438422, 103.93552246731828)"
70,3793.0,2,"(1.309330837, 103.9350504)",TRUE (left),"(1.3091591824814015, 103.93566194217851)","(1.3089446617662115, 103.9346427028153)"
71,3795.0,1,"(1.30145145166066, 103.910596320237)",TRUE (right 2),"(1.301461857742237, 103.91095811211817)","(1.301255717679934, 103.91003024255218)"
72,3795.0,2,"(1.30145145166066, 103.910596320237)",TRUE (right 2),"(1.3014805977470683, 103.91101434663732)","(1.3011903750521212, 103.91011243697261)"
73,3796.0,1,"(1.297512569, 103.8983019)",TRUE (left),"(1.2974589686239033, 103.89798003349856)","(1.2976842164016689, 103.89873105197671)"
74,3796.0,2,"(1.297512569, 103.8983019)",TRUE (left),"(1.2975125990489935, 103.89885979800152)","(1.2971693643087328, 103.89796930466316)"
75,3797.0,1,"(1.29565733262976, 103.885283049309)",FALSE,"(1.2957645599757486, 103.88575506731827)","(1.2956827312923127, 103.88479900320759)"
76,3797.0,2,"(1.29565733262976, 103.885283049309)",FALSE,"(1.2958905651028174, 103.88483939585508)","(1.2958905651028174, 103.88572178256763)"
77,3798.0,1,"(1.29158484, 103.8615987)",SPECIAL (hanging road on right),"(1.2911405964991378, 103.86163169231958)","(1.2920422758924366, 103.86177615386404)"
78,3798.0,2,"(1.29158484, 103.8615987)",SPECIAL (hanging road on right),"(1.2920411913314325, 103.8619049905353)","(1.2911221380314857, 103.86174083216383)"
79,4701.0,1,"(1.2871, 103.79633)",FALSE,"(1.2873324471417975, 103.7959697497922)","(1.2868247296587414, 103.79670021267418)"
80,4701.0,2,"(1.2871, 103.79633)",FALSE,"(1.2866299886795065, 103.79656803367648)","(1.2871098860657695, 103.79580278684772)"
81,4702.0,1,"(1.27237, 103.8324)",FALSE,"(1.2723069664563156, 103.83285943552983)","(1.2725919947049156, 103.8320165354426)"
82,4702.0,2,"(1.27237, 103.8324)",FALSE,"(1.2727159200205622, 103.83202893103211)","(1.272461873117063, 103.83290282009314)"
83,4703.0,1,"(1.348697862, 103.6350413)",FALSE,"(1.348928559456747, 103.63456345050477)","(1.3497640296351243, 103.63432103314913)"
84,4703.0,2,"(1.348697862, 103.6350413)",FALSE,"(1.3500837433388488, 103.63405221096626)","(1.3498492406147817, 103.63483711102815)"
85,4704.0,1,"(1.27877, 103.82375)",FALSE,"(1.2788695353193904, 103.82328780947957)","(1.2786871905353223, 103.82415684520129)"
86,4705.0,1,"(1.32618, 103.73028)",TRUE (left),"(1.3260256046757726, 103.7298386313579)","(1.326247842825364, 103.73069857244218)"
87,4705.0,2,"(1.32618, 103.73028)",TRUE (left),"(1.3259905144397992, 103.73073952201761)","(1.325785821386713, 103.72988543087268)"
88,4706.0,1,"(1.29792, 103.78205)",TRUE (left),"(1.297697976620712, 103.78243668581997)","(1.2981720701013908, 103.78164900637638)"
89,4706.0,2,"(1.29792, 103.78205)",TRUE (left),"(1.2983729571497733, 103.78173741937525)","(1.2978747572404772, 103.78256528654659)"
90,4707.0,1,"(1.33344648135658, 103.652700847056)",TRUE (left),"(1.3336685542341398, 103.65230848324832)","(1.3330202585128523, 103.6529368469241)"
91,4707.0,2,"(1.33344648135658, 103.652700847056)",TRUE (left),"(1.3329398497293028, 103.65283128182656)","(1.333568043280777, 103.65218281051317)"
92,4708.0,1,"(1.29939, 103.7799)",TRUE (left),"(1.299717784457855, 103.77943222822074)","(1.2991310307153108, 103.7803036927479)"
93,4708.0,2,"(1.29939, 103.7799)",TRUE (left),"(1.298967679974177, 103.78018489565196)","(1.2994738499703498, 103.77942544540497)"
94,4709.0,1,"(1.312019, 103.763002)",TRUE (right),"(1.3115631437417512, 103.76311465187992)","(1.3121745270924408, 103.76243873521103)"
95,4709.0,2,"(1.312019, 103.763002)",TRUE (right),"(1.3123300544122012, 103.76263721867727)","(1.3116704039895217, 103.7632380334941)"
96,4710.0,1,"(1.32153, 103.75273)",TRUE (left),"(1.32139622716849, 103.75317383286838)","(1.3216769458683302, 103.75231676777352)"
97,4710.0,2,"(1.32153, 103.75273)",TRUE (left),"(1.321842602567522, 103.75234312926301)","(1.3215602331872693, 103.75319799470856)"
98,4712.0,1,"(1.341244001, 103.6439134)",TRUE (left),"(1.3410662496397874, 103.64432206352292)","(1.3416944820310885, 103.64368639412295)"
99,4712.0,2,"(1.341244001, 103.6439134)",TRUE (left),"(1.3417707414433446, 103.6437808364338)","(1.341171560283121, 103.64444193260977)"
100,4713.0,1,"(1.347645829, 103.6366955)",SPECIAL (kind of a roundabout),"(1.3481321182614558, 103.63724483208185)","(1.3473974713647863, 103.63777121414375)"
101,4713.0,2,"(1.347645829, 103.6366955)",SPECIAL (kind of a roundabout),"(1.3474270233873147, 103.63741745305842)","(1.3470900104205912, 103.63671826990614)"
102,4714.0,1,"(1.31023, 103.76438)",TRUE (left),"(1.3099044874047225, 103.7647000615684)","(1.310613093754306, 103.76409029224916)"
103,4714.0,2,"(1.31023, 103.76438)",TRUE (left),"(1.3106639703859184, 103.76421877248946)","(1.3100199179096776, 103.7648293819127)"
104,4716.0,1,"(1.32227, 103.67453)",TRUE (left),"(1.3223405340977594, 103.67498158116393)","(1.3222718826116129, 103.67405766056984)"
105,4716.0,2,"(1.32227, 103.67453)",TRUE (left),"(1.3224903191518618, 103.67405766056984)","(1.32248407810812, 103.67498158116393)"
106,4798.0,1,"(1.25999999687243, 103.823611110166)",TRUE (left),"(1.2595341215812956, 103.82377702678015)","(1.2604835557273906, 103.82373963844202)"
107,4798.0,2,"(1.25999999687243, 103.823611110166)",TRUE (left),"(1.2604536522948788, 103.82394901313558)","(1.2595490733026722, 103.82400135680892)"
108,4799.0,1,"(1.26027777363278, 103.823888890049)",FALSE,"(1.2598578509423979, 103.82381184694356)","(1.2607481288971096, 103.82379038927154)"
109,4799.0,2,"(1.26027777363278, 103.823888890049)",FALSE,"(1.260705223942422, 103.82383330461558)","(1.2598149459730288, 103.82404788133586)"
110,5794.0,1,"(1.3309693, 103.9168616)",TRUE (left),"(1.3312279458003478, 103.91732031956231)","(1.3308429015600705, 103.91647836775041)"
111,5794.0,2,"(1.3309693, 103.9168616)",TRUE (left),"(1.3310219919118638, 103.91631714293537)","(1.3313891270923721, 103.91721283635229)"
112,5795.0,1,"(1.326024822, 103.905625)","SPECIAL (bridge over other roads, crop out below road)","(1.3261290254555365, 103.9051678822192)","(1.3263864485356667, 103.90601546026878)"
113,5795.0,2,"(1.326024822, 103.905625)","SPECIAL (bridge over other roads, crop out below road)","(1.3261893931438866, 103.90608520422215)","(1.325923667454188, 103.90518879121966)"
114,5797.0,1,"(1.322875288, 103.8910793)",FALSE,"(1.322995589400399, 103.89151247194907)","(1.3227591178708098, 103.89063304852354)"
115,5797.0,2,"(1.322875288, 103.8910793)",FALSE,"(1.3229230146474849, 103.89058057698105)","(1.3231154803404424, 103.8914814113307)"
116,5798.0,1,"(1.32036078126842, 103.877174116489)","SPECIAL (bridge over other roads, but should be fine)","(1.3198104514842215, 103.87756402330389)","(1.3198462451802544, 103.87666894341807)"
117,5798.0,2,"(1.32036078126842, 103.877174116489)","SPECIAL (bridge over other roads, but should be fine)","(1.3200466898685805, 103.8767119072526)","(1.3200037374367353, 103.87760698713842)"
118,5799.0,1,"(1.328171608, 103.8685191)","SPECIAL (3 lanes, 2 right dominant)","(1.3284778180018861, 103.86818056027423)","(1.3280529418063627, 103.86893246636447)"
119,5799.0,2,"(1.328171608, 103.8685191)","SPECIAL (3 lanes, 2 right dominant)","(1.3283688753946026, 103.86810791234281)","(1.3279476306013052, 103.86887434801933)"
120,5799.0,3,"(1.328171608, 103.8685191)","SPECIAL (3 lanes, 2 right dominant)","(1.3277497036644152, 103.86881060679725)","(1.3281889039815178, 103.86798941947977)"
121,6701.0,1,"(1.329334, 103.858222)",FALSE,"(1.3295071423171796, 103.85769557060442)","(1.3297894186828993, 103.85856232680575)"
122,6701.0,2,"(1.329334, 103.858222)",FALSE,"(1.3295137068841956, 103.85863127332178)","(1.3292183013514043, 103.85779078245987)"
123,6703.0,1,"(1.328899, 103.84121)",FALSE,"(1.329164831871312, 103.84159291206329)","(1.3288057268242883, 103.84076128209108)"
124,6703.0,2,"(1.328899, 103.84121)",FALSE,"(1.329086765561184, 103.84069100350189)","(1.3294341606223063, 103.84151872910802)"
125,6704.0,1,"(1.32657403632366, 103.826857295633)",FALSE,"(1.3265013083739237, 103.82732485041582)","(1.3265800542888697, 103.8264011280118)"
126,6704.0,2,"(1.32657403632366, 103.826857295633)",FALSE,"(1.3267590222680838, 103.82637964609543)","(1.3266874350779452, 103.82729620786066)"
127,6705.0,1,"(1.332124, 103.81768)",TRUE (right),"(1.3315776997821502, 103.81791034300026)","(1.3319910486698439, 103.8171251472117)"
128,6705.0,2,"(1.332124, 103.81768)",TRUE (right),"(1.3321920348011937, 103.81722756405368)","(1.3317445562222157, 103.81798620732768)"
129,6706.0,1,"(1.349428893, 103.7952799)",TRUE (left),"(1.3495220553307083, 103.79476293185435)","(1.3493412289748563, 103.7955977465766)"
130,6706.0,2,"(1.349428893, 103.7952799)",TRUE (left),"(1.3490630345549732, 103.79562557373399)","(1.3492647255125583, 103.79478380222237)"
131,6708.0,1,"(1.345996, 103.69016)",FALSE,"(1.345675384903377, 103.68986265814816)","(1.3462206403501398, 103.69055681116116)"
132,6708.0,2,"(1.345996, 103.69016)",FALSE,"(1.346115306921071, 103.6906559758773)","(1.3455142866798455, 103.68997421845383)"
133,6710.0,1,"(1.344205, 103.78577)",FALSE,"(1.3441024362476706, 103.78629265967655)","(1.3437216935941687, 103.78548500048893)"
134,6710.0,2,"(1.344205, 103.78577)",FALSE,"(1.3438989358712805, 103.78541277080548)","(1.3442599849145203, 103.78625982800227)"
135,6711.0,1,"(1.33771, 103.977827)","SPECIAL (3 lanes, right obstructed)","(1.3373727891379648, 103.97814766624792)","(1.337864605194909, 103.97735898430246)"
136,6711.0,2,"(1.33771, 103.977827)","SPECIAL (3 lanes, right obstructed)","(1.3380363504614026, 103.97751515894512)","(1.3376928599163804, 103.97831945835487)"
137,6711.0,3,"(1.33771, 103.977827)","SPECIAL (3 lanes, right obstructed)","(1.3382080957158988, 103.97749173274872)","(1.3378333787815309, 103.9783741194798)"
138,6712.0,1,"(1.332691, 103.770278)",TRUE (left),"(1.3329790709293001, 103.77067688276776)","(1.332628298636175, 103.76986669844763)"
139,6712.0,2,"(1.332691, 103.770278)",TRUE (left),"(1.3328451396960137, 103.76974548976983)","(1.3331640235728446, 103.77058119170631)"
140,6713.0,1,"(1.340298, 103.945652)",TRUE (left),"(1.3406186225565766, 103.94600080616364)","(1.3400487410900335, 103.94528240280734)"
141,6713.0,2,"(1.340298, 103.945652)",TRUE (left),"(1.3401651503179088, 103.94514033855909)","(1.3407526764490991, 103.94582323738437)"
142,6714.0,1,"(1.361742, 103.703341)",FALSE,"(1.3613833637510975, 103.70305928631984)","(1.362029209367772, 103.7037550088578)"
143,6714.0,2,"(1.361742, 103.703341)",FALSE,"(1.3614462449531002, 103.7030069010221)","(1.3621285878514098, 103.70358264541046)"
144,6715.0,1,"(1.356299, 103.716071)","TRUE (left, (right slightly obstructed))","(1.3562081576562384, 103.7165005707196)","(1.3565504013874907, 103.7156999376402)"
145,6715.0,2,"(1.356299, 103.716071)","TRUE (left, (right slightly obstructed))","(1.3566828828188549, 103.71571374165883)","(1.3563930796783312, 103.71655854759776)"
146,6716.0,1,"(1.322893, 103.6635051)","SPECIAL (4 roads, middle 2 tunnel)","(1.322786222727049, 103.66309449102368)","(1.323521456120877, 103.66364606315182)"
147,6716.0,2,"(1.322893, 103.6635051)","SPECIAL (4 roads, middle 2 tunnel)","(1.3225892851738403, 103.66321268505115)","(1.323298260292213, 103.66375769084442)"
148,6716.0,3,"(1.322893, 103.6635051)","SPECIAL (4 roads, middle 2 tunnel)","(1.323206356121631, 103.66381678785814)","(1.3224711226344346, 103.66334401174831)"
149,6716.0,4,"(1.322893, 103.6635051)","SPECIAL (4 roads, middle 2 tunnel)","(1.3231472748673219, 103.66396124722503)","(1.3223792184332175, 103.66345563944091)"
150,7791.0,1,"(1.354245, 103.963782)",FALSE,"(1.3537953819493114, 103.96377068955162)","(1.3546373603280875, 103.96345418888755)"
151,7791.0,2,"(1.354245, 103.963782)",FALSE,"(1.3547285299439045, 103.96368485886308)","(1.3538597369949599, 103.96391016442055)"
152,7793.0,1,"(1.37704704, 103.92946983)","SPECIAL (3 lanes, left obstructed)","(1.3766072124145114, 103.92976857442686)","(1.3769499433479389, 103.92893856516604)"
153,7793.0,2,"(1.37704704, 103.92946983)","SPECIAL (3 lanes, left obstructed)","(1.377112289562363, 103.9289926962048)","(1.376783087504927, 103.92981368362582)"
154,7793.0,3,"(1.37704704, 103.92946983)","SPECIAL (3 lanes, left obstructed)","(1.3772250299825393, 103.92907840368281)","(1.3769679818167553, 103.92992194570331)"
